Distance (m),Elevation (m)
49194.54703241176,-4843.80029296875
49951.38621752579,-4832.17822265625
50708.22540263982,-4830.41748046875
51465.06458775385,-4871.2900390625
52221.903772867874,-4888.201171875
52978.7429579819,-4906.17431640625
53735.582143095926,-4920.798828125
54492.42132820995,-4934.07666015625
55249.260513323985,-4946.85986328125
56006.09969843801,-4958.18115234375
56762.93888355204,-4969.95849609375
57519.77806866606,-4981.92236328125
58276.61725378009,-4992.65625
59033.456438894114,-5003.8369140625
59790.29562400815,-4854.01171875
60547.13480912217,-4795.16455078125
61303.9739942362,-4790.57958984375
62060.813179350225,-4791.00048828125
62817.65236446425,-4813.44580078125
63574.49154957828,-4851.14111328125
64331.33073469231,-4881.67578125
65088.169919806336,-4866.29248046875
65845.00910492036,-4846.3671875
66601.8482900344,-4855.37841796875
67358.68747514841,-4855.28173828125
68115.52666026245,-4841.7783203125
68872.36584537647,-4828.6494140625
69629.2050304905,-4825.40185546875
70386.04421560452,-4825.3203125
71142.88340071855,-4828.16748046875
71899.72258583258,-4823.1708984375
72656.5617709466,-4820.56640625
73413.40095606064,-4818.17333984375
74170.24014117465,-4824.77392578125
74927.07932628869,-4825.81005859375
75683.91851140272,-4829.4658203125
76440.75769651674,-4844.8291015625
77197.59688163077,-4855.81494140625
77954.43606674479,-4848.107421875
78711.27525185882,-4852.31689453125
79468.11443697286,-4859.9140625
80224.95362208688,-4867.59765625
80981.79280720091,-4863.72021484375
81738.63199231493,-4870.4267578125
82495.47117742896,-4867.1474609375
83252.31036254298,-4886.80224609375
84009.14954765701,-4883.1533203125
84765.98873277105,-4881.89404296875
85522.82791788506,-4881.35791015625
86279.6671029991,-4880.78125
87036.50628811312,-4879.626953125
87793.34547322715,-4876.51123046875
88550.18465834118,-4872.365234375
89307.0238434552,-4870.1357421875
90063.86302856923,-4868.556640625
90820.70221368325,-4864.5947265625
91577.54139879729,-4860.56103515625
92334.3805839113,-4856.064453125
93091.21976902534,-4868.0439453125
93848.05895413937,-4870.94384765625
94604.89813925339,-4869.8505859375
95361.73732436742,-4871.43408203125
96118.57650948144,-4867.9814453125
96875.41569459547,-4867.4912109375
97632.25487970951,-4877.1953125
98389.09406482353,-4874.56201171875
99145.93324993756,-4880.12255859375
99902.77243505158,-4878.49072265625
100659.61162016561,-4882.3935546875
101416.45080527964,-4884.0400390625
102173.28999039366,-4882.28515625
102930.1291755077,-4886.7138671875
103686.96836062171,-4882.9814453125
104443.80754573575,-4880.2958984375
105200.64673084977,-4877.87548828125
105957.4859159638,-4880.677734375
106714.32510107783,-4879.63720703125
107471.16428619185,-4877.52001953125
108228.00347130588,-4881.05712890625
108984.8426564199,-4878.7998046875
109741.68184153394,-4876.93896484375
110498.52102664797,-4877.72705078125
111255.36021176199,-4877.93359375
112012.19939687602,-4873.16259765625
112769.03858199004,-4870.40380859375
113525.87776710407,-4862.3779296875
114282.71695221809,-4861.35498046875
115039.55613733213,-4863.58056640625
115796.39532244616,-4861.39208984375
116553.23450756018,-4859.69287109375
117310.07369267421,-4860.12353515625
118066.91287778823,-4856.1201171875
118823.75206290226,-4857.3623046875
119580.5912480163,-4862.53857421875
120337.43043313031,-4854.4912109375
121094.26961824435,-4860.60791015625
121851.10880335837,-4859.263671875
122607.9479884724,-4859.05517578125
123364.78717358643,-4859.2958984375
124121.62635870045,-4860.64404296875
124878.46554381448,-4865.58154296875
125635.3047289285,-4861.05908203125
126392.14391404254,-4861.79736328125
127148.98309915655,-4860.33447265625
127905.82228427059,-4860.90869140625
128662.66146938462,-4859.3388671875
129419.50065449864,-4858.98095703125
130176.33983961267,-4857.03955078125
130933.17902472669,-4856.1220703125
131690.01820984072,-4857.07421875
132446.85739495474,-4853.45556640625
133203.6965800688,-4845.85693359375
133960.5357651828,-4842.7314453125
134717.37495029683,-4837.6826171875
135474.21413541085,-4838.71142578125
136231.0533205249,-4836.5380859375
136987.8925056389,-4835.99560546875
137744.73169075293,-4832.7294921875
138501.57087586698,-4830.4384765625
139258.410060981,-4828.19873046875
140015.24924609502,-4828.75048828125
140772.08843120903,-4826.8349609375
141528.92761632308,-4825.1376953125
142285.7668014371,-4819.72509765625
143042.60598655112,-4816.05078125
143799.44517166517,-4817.572265625
144556.2843567792,-4816.51708984375
145313.1235418932,-4813.9921875
146069.96272700725,-4810.0068359375
146826.80191212127,-4807.482421875
147583.6410972353,-4805.86865234375
148340.4802823493,-4803.83154296875
149097.31946746336,-4803.5107421875
149854.15865257737,-4798.9609375
150610.9978376914,-4798.0673828125
151367.83702280544,-4797.08935546875
152124.67620791946,-4795.23388671875
152881.51539303348,-4794.162109375
153638.3545781475,-4794.29345703125
154395.19376326154,-4794.78564453125
155152.03294837556,-4795.24169921875
155908.87213348958,-4793.587890625
156665.71131860363,-4791.1123046875
157422.55050371765,-4789.2080078125
158179.38968883167,-4787.81494140625
158936.2288739457,-4783.52294921875
159693.06805905973,-4781.10498046875
160449.90724417375,-4779.0390625
161206.74642928777,-4779.74365234375
161963.58561440182,-4778.40283203125
162720.42479951584,-4776.0537109375
163477.26398462986,-4771.67919921875
164234.1031697439,-4770.03369140625
164990.94235485792,-4771.6650390625
165747.78153997194,-4771.8271484375
166504.62072508596,-4769.21923828125
167261.4599102,-4769.55615234375
168018.29909531403,-4768.85986328125
168775.13828042804,-4765.61181640625
169531.9774655421,-4767.72412109375
170288.8166506561,-4765.57373046875
171045.65583577013,-4766.703125
171802.49502088418,-4762.78515625
172559.3342059982,-4764.02294921875
173316.1733911122,-4761.5556640625
174073.01257622623,-4752.07275390625
174829.85176134028,-4762.1884765625
175586.6909464543,-4766.728515625
176343.53013156832,-4767.904296875
177100.36931668237,-4796.169921875
177857.20850179638,-4773.72607421875
178614.0476869104,-4756.70556640625
179370.88687202442,-4435.3369140625
180127.72605713847,-4355.3212890625
180884.5652422525,-4272.7958984375
181641.4044273665,-4245.17041015625
182398.24361248055,-4314.54248046875
183155.08279759457,-4376.02197265625
183911.9219827086,-4447.083984375
184668.7611678226,-4755.83935546875
185425.60035293666,-4751.9189453125
186182.43953805068,-4753.78466796875
186939.2787231647,-4752.2529296875
187696.11790827874,-4751.0751953125
188452.95709339276,-4748.60986328125
189209.79627850678,-4746.0224609375
189966.63546362083,-4746.904296875
190723.47464873485,-4747.759765625
191480.31383384886,-4744.06787109375
192237.15301896288,-4742.79638671875
192993.99220407693,-4742.2001953125
193750.83138919095,-4740.8134765625
194507.67057430497,-4743.07958984375
195264.50975941902,-4739.36279296875
196021.34894453303,-4739.123046875
196778.18812964705,-4740.654296875
197535.02731476107,-4738.76220703125
198291.86649987512,-4739.7724609375
199048.70568498914,-4735.119140625
199805.54487010316,-4734.76806640625
200562.3840552172,-4736.4033203125
201319.22324033122,-4735.82958984375
202076.06242544524,-4736.94580078125
202832.9016105593,-4738.31884765625
203589.7407956733,-4736.8369140625
204346.57998078733,-4734.869140625
205103.41916590134,-4740.54443359375
205860.2583510154,-4747.25390625
206617.0975361294,-4744.310546875
207373.93672124343,-4739.4091796875
208130.77590635748,-4745.24853515625
208887.6150914715,-4743.82568359375
209644.45427658551,-4741.93505859375
210401.29346169953,-4742.71240234375
211158.13264681358,-4740.6669921875
211914.9718319276,-4739.720703125
212671.81101704162,-4735.78662109375
213428.65020215567,-4733.26806640625
214185.48938726968,-4733.5244140625
214942.3285723837,-4731.25634765625
